subject_id,task_id,aor,aqi,dummy_trs,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,provenance,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_fg_k,summary_fg_mad,summary_fg_mean,summary_fg_median,summary_fg_n,summary_fg_p05,summary_fg_p95,summary_fg_stdv,tsnr
01,breathing,0.0009995217391304348,0.010373782391304346,0,30.78732562152838,1.1634924687336243,0.9559665659388649,0.5505404733927156,767.3043823242188,0.21260561072495995,135,58.69565217391305,2.5025166666666667,2.311456666666667,2.7840566666666664,2.412036666666667,0.083834,0.004702748265117407,0.036271803081035614,"{'md5sum': '2e42671c51a8c757f14be9713330e287', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,3.932309356227348,3.0,3.0,3.0,3.0,30.789642192369918,7.962831020355225,50.05634689331055,30.58989715576172,110168.0,1.2937724888324738,152.9349151611328,58.32585144042969,1.7644690760729844,178.13424682617188,903.1531982421875,893.1630859375,48955.0,538.2346984863282,1288.0748779296873,227.13217163085938,47.76768493652344
02,breathing,0.0010622608695652173,0.007701101478260869,0,25.549019917510922,1.1547032148034944,0.9557934974672493,0.5076233855062668,1026.531494140625,0.19135664787612777,110,47.82608695652174,2.450597777777778,2.291603333333333,2.6839099999999996,2.37628,0.105454,0.000863574561662972,0.019338922575116158,"{'md5sum': 'b4b68456039d7e77bb54a1a2ed9191fe', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,4.687336553983941,3.0,3.0,3.0,3.0,77.17692546950182,5.673454761505127,42.2741813659668,27.61648941040039,120539.0,4.654857397079473,116.17709503173828,52.62944030761719,2.7110670168047974,151.500244140625,922.7246704101562,922.4301147460938,40961.0,613.0777587890625,1232.7430419921875,196.78955078125,54.787269592285156
03,breathing,0.0011988260869565217,0.01286025813043478,0,31.274152080960725,1.183068879170305,1.9420620137991267,0.551594359932671,710.17822265625,0.18114874680122425,67,29.130434782608695,2.446477777777778,2.2846333333333333,2.698,2.3568000000000002,0.0170883,0.007177658379077911,0.019893618300557137,"{'md5sum': '5eec5741a4c6ea7adfe41682c8ffcd0f', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,3.8836590414538446,3.0,3.0,3.0,3.0,50.0230365822414,11.769010543823242,63.219757080078125,34.03777313232422,112454.0,11.878643369674684,216.7563270568847,92.60392761230469,2.98202053315703,183.63427734375,959.1984252929688,946.11767578125,46968.0,590.0634094238281,1365.0174072265625,243.6124267578125,39.33242416381836
04,breathing,0.0017030434782608695,0.005685926086956522,0,28.12239482838428,1.2131588560698687,0.9922717828384281,0.5119054356024144,966.8717651367188,0.29301422749318073,151,65.65217391304348,2.585682222222222,2.3437766666666664,2.889186666666667,2.5240833333333335,0.0332141,0.008382081054151058,0.01910853013396263,"{'md5sum': '7f664497e8cb1b4de5c65577b08bca4c', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,4.242159464508233,3.0,3.0,3.0,3.0,73.70209760518208,7.1741790771484375,47.3822135925293,29.58063507080078,119734.0,3.3032129645347643,125.79206962585445,66.17254638671875,1.505009156831778,187.52276611328125,965.7026977539062,963.3946533203125,41506.0,592.4725494384766,1337.6827392578125,227.09732055664062,64.27662658691406
05,breathing,0.0016714347826086956,0.006846849826086957,0,30.531194511615716,1.2117945001746726,0.992950271528384,0.5147213193868987,791.0228271484375,0.2363566526735804,135,58.69565217391305,2.515086666666667,2.3878833333333334,2.7953666666666668,2.36201,0.0692584,0.007307681255042553,0.022541306912899017,"{'md5sum': '2c41f4e1c789b5c3560d74231a216401', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,3.2846445899029124,3.0,3.0,3.0,3.0,51.25256187421682,9.775957107543945,56.086856842041016,33.05168533325195,120049.0,6.606111717224121,175.14121398925744,73.7024917602539,2.760290535342259,207.73751831054688,1000.8489990234375,976.13525390625,41306.0,551.02734375,1536.2002258300781,297.17779541015625,51.043800354003906
06,breathing,0.005718869565217391,0.0066462478695652185,0,25.461833162401753,1.1625428982096069,1.0146265270305677,0.5170191866042679,853.7861938476562,0.23802275613368645,131,56.95652173913044,2.565737777777778,2.3943733333333332,2.805846666666667,2.4969933333333336,0.0878193,0.006761424709111452,0.02317998558282852,"{'md5sum': 'e966fe75b00c1df7c49bdf2e36e635a0', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,3.9834276156705473,3.0,3.0,3.0,3.0,83.47728473006532,9.949395179748535,47.098575592041016,29.704429626464844,118936.0,5.538632392883301,128.05273056030273,62.03054428100586,1.7707635621688302,187.86595153808594,921.078125,914.164306640625,41992.0,553.3721893310546,1298.9741394042967,229.48915100097656,51.12027359008789
07,breathing,0.002927869565217391,0.010165870869565217,0,28.121257757074236,1.094441140480349,1.4395341785152844,0.5288833995778276,827.342041015625,0.2809985288961886,166,72.17391304347827,2.5583988888888887,2.4397966666666666,2.7443033333333333,2.491096666666667,0.0337266,0.01299060508608818,0.019290022552013397,"{'md5sum': '7a004575733c9aba03239bec6200bc70', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,4.122508451621158,3.0,3.0,3.0,3.0,103.21072630084498,9.64540958404541,46.880367279052734,30.69554901123047,115168.0,5.734131550788888,115.28743400573731,65.54239654541016,1.661638540747692,179.4561767578125,915.6185913085938,921.1795654296875,45056.0,531.2950592041016,1267.5174865722656,223.44874572753906,45.95784378051758
08,breathing,0.0013636086956521738,0.009549984608695652,0,26.309454730611357,1.1456378187772929,0.9440374475982526,0.5667750215537338,629.3475341796875,0.20717182554937516,92,40.0,2.4092800000000003,2.2563033333333333,2.6208633333333333,2.3506733333333334,0.0689004,0.022514918819069862,0.01599813811480999,"{'md5sum': 'bcaf10f1a06278f126f3fca5aad8b2e2', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,4.062407139986407,3.0,3.0,3.0,3.0,53.00024182627958,11.94279670715332,61.31143569946289,34.209144592285156,108872.0,4.854900264739991,212.28469924926753,91.30718231201172,2.864369993952609,168.34571838378906,909.7918090820312,899.63427734375,49860.0,581.2774963378906,1274.7529541015622,221.45127868652344,46.03542709350586
09,breathing,0.0019543043478260865,0.011671326434782607,0,26.207215996288216,1.1317086345414844,1.0711523116157209,0.5778279757711429,699.690185546875,0.20914851086015065,116,50.43478260869565,2.388937777777778,2.19948,2.615813333333333,2.3515200000000003,0.0364769,0.008105733431875706,0.026355549693107605,"{'md5sum': '449eab18f31eed93159652977388e371', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,4.359589344347771,3.0,3.0,3.0,3.0,23.17459610132084,11.722915649414062,60.03981399536133,33.30051040649414,104390.0,6.950143265724183,219.7125656127929,88.51702117919922,2.3250384778261877,173.59921264648438,936.6817626953125,924.7971801757812,53890.0,635.4247650146485,1296.6549621582026,212.12745666503906,41.87363815307617
10,breathing,0.001328173913043478,0.005812653913043478,0,24.634258370349343,1.1592103155021836,0.9657967337554579,0.5422930479844703,832.03857421875,0.1303934722144514,44,19.130434782608695,2.439312222222222,2.2873233333333336,2.7043933333333334,2.3262199999999997,0.232729,0.010045221075415611,0.02107059769332409,"{'md5sum': '7fb9c71585f8a72935ccdd265fb745e1', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,3.7691522541179583,3.0,3.0,3.0,3.0,67.86719912939658,9.908342361450195,58.698543548583984,33.043724060058594,112349.0,1.5874934673309333,197.16828002929685,82.44955444335938,2.285388816653449,209.60809326171875,1034.9246826171875,1004.9737548828125,47172.0,667.5983642578126,1513.3654174804683,266.62841796875,48.159664154052734
11,breathing,0.00039243478260869567,0.004631424173913043,0,32.002964894497836,1.183601757467249,1.0902367473799128,0.5636646458418132,581.337890625,0.3283365602857974,189,82.17391304347827,2.457307777777778,2.3156866666666667,2.6921966666666663,2.36404,0.141467,-0.0020664629992097616,0.03242478147149086,"{'md5sum': 'fbdb5eca1d991d92760cd29f474802de', 'settings': {'fd_thres': 0.2, 'hmc_fsl': False}, 'software': 'mriqc', 'version': '0.9.6'}",230,64,64,49,3.812418671187276,3.0,3.0,3.0,3.0,39.012832226210314,10.920196533203125,62.67234802246094,35.10770797729492,109799.0,0.4679196029901505,211.36213073730465,85.38829040527344,1.9632372149523718,185.82614135742188,908.6975708007812,897.078125,49098.0,548.7287658691406,1316.6890136718753,235.3018035888672,57.47430419921875
